iter	Passed	Remaining
0	147	147547
1	148	74015
2	149	49660
3	150	37384
4	150	30024
5	151	25117
6	152	21582
7	152	18940
8	153	16893
9	154	15254
10	154	13923
11	155	12804
12	156	11868
13	156	11052
14	157	10346
15	158	9726
16	158	9179
17	159	8700
18	160	8266
19	160	7875
20	161	7533
21	162	7214
22	162	6919
23	163	6653
24	164	6404
25	164	6177
26	165	5965
27	166	5769
28	166	5589
29	167	5420
30	168	5260
31	168	5110
32	169	4969
33	170	4833
34	170	4707
35	171	4589
36	171	4475
37	172	4373
38	173	4272
39	174	4178
40	174	4085
41	175	3996
42	175	3912
43	176	3832
44	176	3754
45	177	3678
46	177	3607
47	178	3539
48	179	3476
49	179	3414
50	180	3355
51	180	3297
52	181	3241
53	181	3187
54	182	3135
55	183	3085
56	183	3037
57	184	2990
58	184	2944
59	185	2901
60	185	2859
61	186	2820
62	186	2781
63	187	2743
64	188	2706
65	188	2669
66	189	2634
67	189	2596
68	189	2563
69	190	2531
70	191	2500
71	191	2471
72	192	2441
73	192	2412
74	193	2385
75	194	2359
76	194	2334
77	195	2309
78	195	2284
79	196	2260
80	197	2236
81	197	2214
82	198	2192
83	198	2169
84	199	2145
85	199	2124
86	200	2101
87	200	2080
88	201	2060
89	201	2041
90	202	2021
91	202	2002
92	203	1983
93	204	1966
94	204	1950
95	205	1932
96	205	1915
97	206	1899
98	206	1883
99	207	1867
100	208	1852
101	208	1835
102	209	1820
103	209	1805
104	210	1792
105	210	1779
106	211	1765
107	212	1751
108	212	1737
109	213	1724
110	213	1711
111	214	1698
112	214	1686
113	215	1673
114	215	1660
115	216	1648
116	216	1637
117	217	1625
118	217	1612
119	218	1600
120	218	1589
121	219	1578
122	219	1565
123	220	1555
124	220	1544
125	221	1534
126	221	1524
127	222	1513
128	222	1504
129	223	1495
130	224	1486
131	224	1476
132	225	1467
133	225	1458
134	226	1449
135	226	1440
136	227	1432
137	227	1422
138	228	1414
139	228	1406
140	229	1398
141	230	1391
142	230	1382
143	231	1374
144	231	1366
145	232	1359
146	232	1351
147	233	1343
148	233	1336
149	234	1328
150	235	1321
151	235	1314
152	236	1307
153	236	1301
154	237	1294
155	237	1287
156	238	1280
157	239	1273
158	239	1267
159	240	1260
160	240	1254
161	241	1247
162	241	1241
163	242	1235
164	242	1229
165	243	1223
166	243	1216
167	244	1210
168	244	1204
169	245	1198
170	246	1192
171	246	1186
172	247	1180
173	247	1175
174	248	1170
175	248	1165
176	249	1159
177	249	1154
178	250	1148
179	251	1143
180	251	1137
181	251	1132
182	252	1126
183	252	1121
184	253	1116
185	253	1111
186	254	1106
187	255	1102
188	255	1097
189	256	1092
190	256	1087
191	257	1083
192	257	1078
193	258	1073
194	258	1069
195	259	1064
196	260	1060
197	260	1055
198	261	1051
199	261	1047
200	262	1043
201	262	1038
202	263	1034
203	263	1029
204	264	1025
205	264	1021
206	265	1017
207	266	1013
208	266	1009
209	267	1006
210	268	1002
211	268	998
212	269	994
213	269	990
214	270	986
215	270	983
216	271	979
217	271	975
218	272	971
219	273	968
220	273	964
221	274	961
222	274	957
223	275	954
224	275	950
225	276	946
226	277	943
227	277	939
228	278	936
229	278	932
230	279	929
231	279	926
232	280	923
233	281	920
234	281	916
235	282	913
236	282	910
237	283	906
238	283	903
239	284	900
240	284	896
241	285	893
242	285	890
243	286	887
244	287	884
245	287	881
246	288	878
247	288	875
248	289	872
249	289	869
250	290	866
251	290	863
252	291	860
253	292	857
254	292	854
255	293	852
256	293	849
257	294	846
258	295	844
259	295	841
260	296	838
261	296	835
262	297	832
263	297	829
264	298	826
265	298	824
266	299	821
267	299	819
268	300	816
269	301	813
270	301	811
271	301	808
272	302	805
273	303	803
274	303	800
275	304	798
276	304	795
277	305	793
278	305	790
279	306	788
280	307	785
281	307	783
282	308	780
283	308	778
284	309	775
285	309	773
286	310	771
287	311	768
288	311	766
289	312	764
290	312	761
291	313	761
292	314	758
293	315	756
294	315	753
295	316	751
296	316	749
297	317	747
298	317	745
299	318	743
300	319	741
301	319	738
302	320	736
303	320	734
304	321	731
305	321	729
306	322	727
307	322	725
308	323	723
309	324	721
310	324	719
311	325	717
312	325	715
313	326	713
314	327	711
315	327	709
316	328	707
317	328	705
318	329	703
319	330	701
320	330	699
321	331	697
322	332	696
323	332	694
324	333	692
325	333	690
326	334	688
327	335	686
328	335	684
329	336	683
330	336	681
331	337	679
332	338	678
333	339	676
334	339	674
335	340	672
336	340	670
337	341	668
338	341	666
339	342	664
340	343	663
341	344	661
342	344	660
343	345	658
344	345	656
345	346	654
346	346	652
347	347	650
348	347	648
349	348	646
350	348	645
351	349	643
352	349	641
353	350	640
354	351	638
355	351	636
356	352	634
357	352	632
358	353	631
359	353	629
360	354	627
361	355	626
362	355	624
363	357	624
364	357	622
365	358	620
366	358	619
367	359	617
368	359	615
369	360	614
370	361	612
371	361	610
372	362	609
373	363	608
374	363	606
375	364	604
376	364	603
377	365	601
378	365	599
379	366	598
380	367	596
381	367	594
382	368	593
383	368	591
384	369	590
385	370	588
386	370	587
387	371	585
388	371	584
389	372	582
390	373	581
391	373	579
392	374	578
393	375	577
394	376	577
395	377	575
396	377	574
397	378	572
398	379	570
399	379	569
400	380	568
401	380	566
402	381	565
403	382	564
404	383	562
405	383	561
406	384	559
407	384	558
408	385	557
409	386	555
410	386	554
411	387	552
412	388	551
413	388	550
414	389	548
415	389	547
416	390	545
417	391	544
418	391	543
419	392	541
420	392	540
421	394	540
422	394	538
423	395	537
424	396	535
425	396	534
426	397	532
427	397	531
428	398	529
429	398	528
430	399	527
431	400	526
432	400	525
433	401	523
434	402	522
435	402	521
436	403	519
437	403	518
438	404	516
439	404	515
440	405	514
441	406	513
442	407	512
443	408	511
444	408	509
445	409	508
446	409	506
447	410	505
448	411	504
449	411	503
450	412	501
451	412	500
452	413	499
453	414	497
454	414	496
455	415	495
456	415	493
457	416	492
458	416	491
459	417	489
460	417	488
461	418	487
462	419	486
463	419	484
464	420	483
465	420	482
466	421	480
467	421	479
468	422	478
469	423	477
470	423	475
471	424	474
472	424	473
473	425	472
474	426	471
475	426	469
476	427	468
477	427	467
478	428	466
479	429	464
480	429	463
481	430	462
482	430	461
483	431	460
484	432	458
485	433	458
486	433	456
487	434	455
488	434	454
489	435	453
490	435	451
491	436	450
492	437	449
493	437	448
494	438	447
495	438	446
496	439	444
497	440	443
498	440	442
499	441	441
500	441	440
501	442	438
502	442	437
503	443	436
504	444	435
505	445	434
506	445	433
507	446	432
508	446	431
509	447	429
510	448	428
511	448	427
512	449	426
513	450	425
514	450	424
515	451	423
516	452	422
517	453	421
518	453	420
519	454	419
520	455	418
521	456	417
522	456	416
523	458	416
524	458	415
525	459	413
526	460	413
527	461	412
528	461	411
529	462	409
530	462	408
531	463	408
532	464	406
533	465	405
534	465	404
535	466	403
536	466	402
537	467	401
538	468	400
539	468	399
540	469	398
541	470	397
542	470	396
543	471	395
544	471	393
545	472	392
546	473	391
547	473	390
548	474	389
549	474	388
550	475	387
551	476	386
552	476	385
553	477	384
554	477	383
555	478	382
556	479	381
557	480	380
558	480	379
559	481	378
560	481	377
561	482	375
562	482	374
563	483	373
564	484	372
565	484	371
566	485	370
567	486	369
568	486	368
569	487	367
570	488	366
571	489	365
572	489	364
573	490	363
574	490	362
575	491	361
576	491	360
577	492	359
578	493	358
579	494	357
580	494	356
581	495	355
582	495	354
583	496	353
584	497	352
585	497	351
586	498	350
587	498	349
588	499	348
589	500	347
590	501	346
591	501	345
592	502	344
593	502	343
594	503	342
595	504	341
596	504	340
597	505	339
598	506	338
599	506	337
600	507	336
601	507	335
602	508	334
603	509	333
604	509	332
605	510	331
606	511	330
607	511	330
608	512	329
609	513	328
610	513	327
611	514	326
612	514	325
613	515	324
614	516	323
615	516	322
616	517	321
617	517	320
618	518	319
619	519	318
620	519	317
621	520	316
622	520	315
623	521	314
624	522	313
625	522	312
626	523	311
627	523	310
